Time,Type,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
0,Pressure,0.0,0.0,2222.0,1149.0,289.0,0.0,0.0,0.0,,
0,Humidity,,,,,,,,,,6807.0
0,Temperature,,,,,,,,,2321.0,
50,Pressure,0.0,0.0,2233.0,1145.0,290.0,0.0,0.0,0.0,,
100,Pressure,0.0,0.0,2213.0,1126.0,288.0,0.0,0.0,0.0,,
150,Pressure,0.0,0.0,2222.0,1124.0,288.0,0.0,0.0,0.0,,
200,Pressure,0.0,0.0,2219.0,1121.0,288.0,0.0,0.0,0.0,,
250,Pressure,0.0,0.0,2217.0,1123.0,283.0,0.0,0.0,0.0,,
300,Pressure,0.0,0.0,2218.0,1128.0,282.0,0.0,0.0,0.0,,
350,Pressure,0.0,0.0,2214.0,1120.0,272.0,0.0,0.0,0.0,,
400,Pressure,0.0,0.0,2224.0,1124.0,278.0,0.0,0.0,0.0,,
450,Pressure,0.0,0.0,2216.0,1125.0,275.0,0.0,0.0,0.0,,
500,Pressure,0.0,0.0,2228.0,1129.0,282.0,0.0,0.0,0.0,,
550,Pressure,0.0,0.0,2221.0,1125.0,277.0,0.0,0.0,0.0,,
600,Pressure,0.0,0.0,2229.0,1125.0,281.0,0.0,0.0,0.0,,
650,Pressure,0.0,0.0,2225.0,1122.0,282.0,0.0,0.0,0.0,,
700,Pressure,0.0,0.0,2223.0,1127.0,282.0,0.0,0.0,0.0,,
750,Pressure,0.0,0.0,2225.0,1128.0,285.0,0.0,0.0,0.0,,
800,Pressure,0.0,0.0,2213.0,1120.0,283.0,0.0,0.0,0.0,,
850,Pressure,0.0,0.0,2217.0,1120.0,284.0,0.0,0.0,0.0,,
900,Pressure,0.0,0.0,2211.0,1116.0,279.0,0.0,0.0,0.0,,
950,Pressure,0.0,0.0,2218.0,1120.0,283.0,0.0,0.0,0.0,,
1000,Pressure,0.0,0.0,2211.0,1114.0,277.0,0.0,0.0,0.0,,
1050,Pressure,0.0,0.0,2216.0,1117.0,276.0,0.0,0.0,0.0,,
1100,Pressure,0.0,0.0,2208.0,1115.0,275.0,0.0,0.0,0.0,,
1150,Pressure,0.0,0.0,2215.0,1110.0,275.0,0.0,0.0,0.0,,
1200,Pressure,0.0,0.0,2216.0,1117.0,276.0,0.0,0.0,0.0,,
1250,Pressure,0.0,0.0,2211.0,1114.0,268.0,0.0,0.0,0.0,,
1300,Pressure,0.0,0.0,2217.0,1118.0,268.0,0.0,0.0,0.0,,
1350,Pressure,0.0,0.0,2213.0,1113.0,270.0,0.0,0.0,0.0,,
