Time,Type,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
0,Pressure,0.0,647.0,1868.0,1040.0,0.0,0.0,0.0,0.0,,
0,Humidity,,,,,,,,,,4673.0
0,Temperature,,,,,,,,,3191.0,
50,Pressure,0.0,648.0,1867.0,1021.0,0.0,0.0,0.0,0.0,,
100,Pressure,0.0,652.0,1880.0,1046.0,0.0,0.0,0.0,0.0,,
150,Pressure,0.0,646.0,1864.0,1035.0,0.0,0.0,0.0,0.0,,
200,Pressure,0.0,652.0,1864.0,1048.0,0.0,0.0,0.0,0.0,,
250,Pressure,0.0,647.0,1857.0,1048.0,0.0,0.0,0.0,0.0,,
300,Pressure,0.0,648.0,1867.0,1045.0,0.0,0.0,0.0,0.0,,
350,Pressure,0.0,651.0,1861.0,1041.0,0.0,0.0,0.0,0.0,,
400,Pressure,0.0,646.0,1847.0,1038.0,0.0,0.0,0.0,0.0,,
450,Pressure,0.0,652.0,1847.0,1040.0,0.0,0.0,0.0,0.0,,
500,Pressure,0.0,649.0,1840.0,1045.0,0.0,0.0,0.0,0.0,,
550,Pressure,0.0,654.0,1851.0,1053.0,0.0,0.0,0.0,0.0,,
600,Pressure,0.0,646.0,1838.0,1052.0,0.0,0.0,0.0,0.0,,
650,Pressure,0.0,648.0,1843.0,1063.0,0.0,0.0,0.0,0.0,,
700,Pressure,0.0,646.0,1842.0,1063.0,0.0,0.0,0.0,0.0,,
750,Pressure,0.0,650.0,1852.0,1062.0,0.0,0.0,0.0,0.0,,
800,Pressure,0.0,646.0,1850.0,1067.0,0.0,0.0,0.0,0.0,,
850,Pressure,0.0,644.0,1849.0,1061.0,0.0,0.0,0.0,0.0,,
900,Pressure,0.0,642.0,1856.0,1065.0,0.0,0.0,0.0,0.0,,
950,Pressure,0.0,640.0,1851.0,1064.0,0.0,0.0,0.0,0.0,,
1000,Pressure,0.0,644.0,1863.0,1078.0,0.0,0.0,0.0,0.0,,
1050,Pressure,0.0,639.0,1852.0,1069.0,0.0,0.0,0.0,0.0,,
1100,Pressure,0.0,644.0,1867.0,1079.0,0.0,0.0,0.0,0.0,,
1150,Pressure,0.0,642.0,1859.0,1076.0,0.0,0.0,0.0,0.0,,
1200,Pressure,0.0,641.0,1850.0,1075.0,0.0,0.0,0.0,0.0,,
1250,Pressure,0.0,640.0,1856.0,1080.0,0.0,0.0,0.0,0.0,,
