Time,Type,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
0,Pressure,5950.0,5575.0,3363.0,5284.0,5841.0,3704.0,823.0,1457.0,,
0,Humidity,,,,,,,,,,6397.0
0,Temperature,,,,,,,,,2735.0,
50,Pressure,5938.0,5562.0,3358.0,5279.0,5842.0,3707.0,789.0,1482.0,,
100,Pressure,5924.0,5547.0,3352.0,5270.0,5840.0,3698.0,794.0,1492.0,,
150,Pressure,5939.0,5548.0,3343.0,5275.0,5847.0,3689.0,796.0,1502.0,,
200,Pressure,5925.0,5525.0,3312.0,5235.0,5820.0,3642.0,802.0,1480.0,,
250,Pressure,5975.0,5540.0,3325.0,5226.0,5827.0,3617.0,764.0,1454.0,,
300,Pressure,5985.0,5523.0,3293.0,5149.0,5780.0,3533.0,730.0,3088.0,,
350,Pressure,6027.0,5518.0,3260.0,5080.0,5749.0,3449.0,693.0,1298.0,,
400,Pressure,6046.0,5523.0,3249.0,5076.0,5745.0,3435.0,668.0,1267.0,,
450,Pressure,6045.0,5512.0,3247.0,5071.0,5729.0,3427.0,672.0,1264.0,,
500,Pressure,6059.0,5528.0,3255.0,5085.0,5745.0,3428.0,660.0,1268.0,,
550,Pressure,6057.0,5514.0,3241.0,5070.0,5732.0,3411.0,648.0,1236.0,,
600,Pressure,6092.0,5534.0,3232.0,5059.0,5732.0,3383.0,606.0,1178.0,,
650,Pressure,6108.0,5512.0,3192.0,4995.0,5683.0,3323.0,473.0,1073.0,,
700,Pressure,6154.0,5535.0,3180.0,4980.0,5673.0,3310.0,424.0,975.0,,
750,Pressure,6138.0,5518.0,3171.0,4961.0,5651.0,3282.0,404.0,948.0,,
800,Pressure,6146.0,5521.0,3178.0,4973.0,5655.0,3288.0,419.0,979.0,,
850,Pressure,6135.0,5530.0,3200.0,4997.0,5677.0,3313.0,493.0,1026.0,,
900,Pressure,6103.0,5525.0,3220.0,5037.0,5706.0,3356.0,585.0,1106.0,,
950,Pressure,6091.0,5542.0,3261.0,5099.0,5729.0,3417.0,664.0,1181.0,,
1000,Pressure,6049.0,5534.0,3288.0,5167.0,5747.0,3482.0,726.0,1234.0,,
1050,Pressure,6035.0,5554.0,3328.0,5237.0,5790.0,3574.0,758.0,1345.0,,
1100,Pressure,5980.0,5531.0,3332.0,5245.0,5783.0,3605.0,830.0,1420.0,,
1150,Pressure,5979.0,5555.0,3370.0,5306.0,5823.0,3673.0,885.0,1542.0,,
1200,Pressure,5956.0,5548.0,3374.0,5300.0,5812.0,3680.0,859.0,1590.0,,
1250,Pressure,5976.0,5562.0,3388.0,5317.0,5822.0,3699.0,866.0,1614.0,,
1300,Pressure,5982.0,5571.0,3392.0,5329.0,5823.0,3718.0,859.0,1590.0,,
1350,Pressure,5968.0,5564.0,3380.0,5325.0,5816.0,3728.0,863.0,1579.0,,
1400,Pressure,5999.0,5587.0,3394.0,5343.0,5829.0,3739.0,878.0,1596.0,,
1450,Pressure,6015.0,5588.0,3396.0,5337.0,5812.0,3732.0,883.0,1580.0,,
1500,Pressure,6060.0,5619.0,3407.0,5345.0,5828.0,3733.0,908.0,1539.0,,
1550,Pressure,6072.0,5616.0,3387.0,5305.0,5786.0,3689.0,899.0,1466.0,,
1600,Pressure,6113.0,5654.0,3404.0,5319.0,5804.0,3703.0,912.0,1427.0,,
1650,Pressure,6106.0,5643.0,3398.0,5306.0,5787.0,3697.0,921.0,1413.0,,
1700,Pressure,6104.0,5646.0,3408.0,5321.0,5791.0,3705.0,928.0,1428.0,,
1750,Pressure,6107.0,5653.0,3416.0,5328.0,5796.0,3707.0,929.0,1438.0,,
1800,Pressure,6097.0,5637.0,3395.0,5302.0,5790.0,3692.0,923.0,1432.0,,
1850,Pressure,6122.0,5645.0,3396.0,5299.0,5787.0,3675.0,872.0,1424.0,,
1900,Pressure,6119.0,5635.0,3385.0,5276.0,5770.0,3641.0,855.0,1404.0,,
1950,Pressure,6137.0,5648.0,3397.0,5279.0,5789.0,3631.0,863.0,1387.0,,
2000,Pressure,6117.0,5616.0,3377.0,5255.0,5763.0,3613.0,864.0,1379.0,,
2050,Pressure,6135.0,5630.0,3385.0,5271.0,5785.0,3617.0,867.0,1384.0,,
2100,Pressure,6116.0,5604.0,3370.0,5233.0,5760.0,3591.0,843.0,1381.0,,
2150,Pressure,6124.0,5595.0,3354.0,5198.0,5743.0,3541.0,795.0,1331.0,,
2200,Pressure,6156.0,5591.0,3324.0,5146.0,5722.0,3466.0,735.0,1199.0,,
2250,Pressure,6169.0,5571.0,3298.0,5081.0,5673.0,3412.0,608.0,1093.0,,
2300,Pressure,6220.0,5577.0,3263.0,5022.0,5637.0,3347.0,474.0,898.0,,
2350,Pressure,6248.0,5554.0,3177.0,4923.0,5566.0,3215.0,298.0,685.0,,
2400,Pressure,6306.0,5567.0,3147.0,4849.0,5520.0,3060.0,272.0,538.0,,
2450,Pressure,6303.0,5539.0,3105.0,4788.0,5479.0,3010.0,253.0,504.0,,
2500,Pressure,6333.0,5567.0,3112.0,4799.0,5504.0,3035.0,280.0,531.0,,
2550,Pressure,6317.0,5550.0,3097.0,4789.0,5496.0,3026.0,284.0,522.0,,
2600,Pressure,6328.0,5558.0,3101.0,4793.0,5506.0,3023.0,285.0,542.0,,
2650,Pressure,6316.0,5558.0,3118.0,4832.0,5526.0,3047.0,308.0,579.0,,
2700,Pressure,6282.0,5544.0,3155.0,4872.0,5549.0,3101.0,341.0,643.0,,
2750,Pressure,6265.0,5559.0,3195.0,4941.0,5611.0,3194.0,352.0,706.0,,
2800,Pressure,6233.0,5548.0,3212.0,4976.0,5630.0,3256.0,342.0,794.0,,
2850,Pressure,6240.0,5573.0,3251.0,5018.0,5664.0,3302.0,390.0,852.0,,
2900,Pressure,6209.0,5545.0,3240.0,5010.0,5647.0,3322.0,408.0,884.0,,
2950,Pressure,6242.0,5574.0,3259.0,5028.0,5666.0,3323.0,393.0,921.0,,
3000,Humidity,,,,,,,,,,6404.0
3000,Temperature,,,,,,,,,2750.0,
3000,Pressure,6243.0,5563.0,3238.0,5007.0,5644.0,3290.0,364.0,907.0,,
3050,Pressure,6256.0,5572.0,3241.0,5006.0,5646.0,3288.0,367.0,897.0,,
3100,Pressure,6251.0,5571.0,3261.0,5015.0,5653.0,3300.0,398.0,920.0,,
3150,Pressure,6232.0,5560.0,3259.0,5027.0,5651.0,3336.0,418.0,927.0,,
3200,Pressure,6235.0,5580.0,3281.0,5061.0,5673.0,3365.0,446.0,928.0,,
3250,Pressure,6222.0,5569.0,3272.0,5055.0,5664.0,3365.0,477.0,943.0,,
3300,Pressure,6248.0,5587.0,3283.0,5061.0,5672.0,3370.0,461.0,952.0,,
3350,Pressure,6243.0,5569.0,3262.0,5007.0,5632.0,3318.0,400.0,931.0,,
3400,Pressure,6291.0,5590.0,3255.0,4993.0,5631.0,3272.0,398.0,900.0,,
3450,Pressure,6283.0,5581.0,3250.0,4990.0,5619.0,3257.0,395.0,899.0,,
3500,Pressure,6284.0,5589.0,3255.0,4991.0,5625.0,3264.0,395.0,899.0,,
3550,Pressure,6291.0,5591.0,3261.0,4997.0,5623.0,3263.0,393.0,897.0,,
3600,Pressure,6280.0,5582.0,3260.0,4989.0,5614.0,3263.0,391.0,897.0,,
3650,Pressure,6294.0,5595.0,3267.0,5004.0,5629.0,3274.0,401.0,899.0,,
3700,Pressure,6279.0,5588.0,3269.0,5014.0,5628.0,3288.0,407.0,906.0,,
3750,Pressure,6283.0,5600.0,3289.0,5054.0,5655.0,3329.0,438.0,927.0,,
3800,Pressure,6249.0,5586.0,3290.0,5067.0,5649.0,3351.0,500.0,949.0,,
3850,Pressure,6266.0,5609.0,3310.0,5116.0,5687.0,3402.0,538.0,946.0,,
3900,Pressure,6242.0,5600.0,3313.0,5129.0,5677.0,3420.0,548.0,960.0,,
3950,Pressure,6229.0,5615.0,3337.0,5170.0,5718.0,3451.0,588.0,956.0,,
4000,Pressure,6223.0,5618.0,3360.0,5209.0,5735.0,3494.0,639.0,997.0,,
4050,Pressure,6193.0,5605.0,3361.0,5214.0,5736.0,3516.0,675.0,1066.0,,
4100,Pressure,6212.0,5619.0,3364.0,5215.0,5744.0,3523.0,687.0,1087.0,,
4150,Pressure,6201.0,5605.0,3357.0,5201.0,5733.0,3512.0,676.0,1088.0,,
4200,Pressure,6230.0,5620.0,3361.0,5209.0,5743.0,3500.0,686.0,1084.0,,
4250,Pressure,6205.0,5599.0,3351.0,5181.0,5726.0,3486.0,682.0,1062.0,,
4300,Pressure,6241.0,5617.0,3354.0,5182.0,5734.0,3483.0,646.0,1063.0,,
4350,Pressure,6241.0,5600.0,3325.0,5117.0,5684.0,3441.0,600.0,1011.0,,
4400,Pressure,6272.0,5608.0,3303.0,5061.0,5658.0,3387.0,483.0,904.0,,
4450,Pressure,6289.0,5598.0,3283.0,5000.0,5616.0,3321.0,396.0,825.0,,
4500,Pressure,6293.0,5583.0,3241.0,4945.0,5556.0,3236.0,346.0,717.0,,
4550,Pressure,6310.0,5594.0,3234.0,4938.0,5554.0,3211.0,351.0,694.0,,
4600,Pressure,6288.0,5579.0,3231.0,4927.0,5542.0,3223.0,365.0,703.0,,
4650,Pressure,6288.0,5597.0,3260.0,4963.0,5571.0,3277.0,381.0,765.0,,
4700,Pressure,6231.0,5567.0,3277.0,4982.0,5588.0,3325.0,405.0,841.0,,
4750,Pressure,6204.0,5596.0,3321.0,5066.0,5639.0,3402.0,495.0,922.0,,
4800,Pressure,6113.0,5570.0,3328.0,5107.0,5652.0,3458.0,578.0,986.0,,
4850,Pressure,6047.0,5566.0,3375.0,5191.0,5691.0,3568.0,676.0,1062.0,,
4900,Pressure,5953.0,5560.0,3401.0,5228.0,5716.0,3656.0,711.0,1093.0,,
4950,Pressure,5868.0,5529.0,3390.0,5231.0,5709.0,3699.0,742.0,1101.0,,
5000,Pressure,5825.0,5524.0,3396.0,5250.0,5718.0,3735.0,756.0,1157.0,,
5050,Pressure,5769.0,5509.0,3398.0,5253.0,5703.0,3753.0,785.0,1166.0,,
5100,Pressure,5768.0,5527.0,3424.0,5281.0,5722.0,3812.0,829.0,1136.0,,
5150,Pressure,5747.0,5510.0,3413.0,5280.0,5703.0,3845.0,856.0,1166.0,,
5200,Pressure,5770.0,5536.0,3435.0,5310.0,5732.0,3897.0,874.0,1205.0,,
5250,Pressure,5764.0,5520.0,3431.0,5289.0,5721.0,3898.0,878.0,1217.0,,
5300,Pressure,5812.0,5534.0,3436.0,5289.0,5711.0,3886.0,848.0,1209.0,,
5350,Pressure,5926.0,5527.0,3378.0,5128.0,5589.0,3688.0,668.0,1002.0,,
5400,Pressure,6091.0,5490.0,3234.0,4823.0,5379.0,3288.0,334.0,678.0,,
5450,Pressure,6248.0,5448.0,3002.0,4519.0,5158.0,2834.0,136.0,374.0,,
5500,Pressure,6320.0,5372.0,2746.0,4056.0,4806.0,2138.0,0.0,84.0,,
5550,Pressure,6388.0,5323.0,2451.0,3703.0,4250.0,1549.0,0.0,0.0,,
5600,Pressure,6395.0,5272.0,2316.0,3550.0,4010.0,1361.0,0.0,0.0,,
5650,Pressure,6422.0,5281.0,2299.0,3540.0,4000.0,1311.0,0.0,0.0,,
5700,Pressure,6403.0,5268.0,2314.0,3552.0,4045.0,1341.0,0.0,0.0,,
5750,Pressure,6412.0,5282.0,2349.0,3610.0,4116.0,1413.0,0.0,0.0,,
5800,Pressure,6418.0,5310.0,2384.0,3680.0,4187.0,1460.0,0.0,0.0,,
5850,Pressure,6409.0,5325.0,2394.0,3732.0,4218.0,1515.0,0.0,0.0,,
5900,Pressure,6423.0,5375.0,2413.0,3818.0,4305.0,1589.0,0.0,0.0,,
5950,Pressure,6412.0,5394.0,2440.0,3888.0,4339.0,1657.0,0.0,0.0,,
6000,Temperature,,,,,,,,,2768.0,
6000,Humidity,,,,,,,,,,6453.0
6000,Pressure,6429.0,5428.0,2465.0,3936.0,4345.0,1708.0,0.0,0.0,,
6050,Pressure,6393.0,5429.0,2499.0,4057.0,4354.0,1815.0,0.0,0.0,,
6100,Pressure,6397.0,5511.0,2667.0,4380.0,4499.0,2021.0,0.0,0.0,,
6150,Pressure,6348.0,5563.0,2830.0,4610.0,4705.0,2374.0,0.0,24.0,,
6200,Pressure,6299.0,5653.0,3031.0,4884.0,4962.0,2780.0,184.0,163.0,,
6250,Pressure,6227.0,5708.0,3240.0,5124.0,5228.0,3182.0,277.0,255.0,,
6300,Pressure,6175.0,5765.0,3386.0,5299.0,5402.0,3545.0,461.0,343.0,,
6350,Pressure,6179.0,5845.0,3559.0,5449.0,5529.0,3861.0,823.0,526.0,,
6400,Pressure,6176.0,5881.0,3663.0,5550.0,5608.0,4087.0,1028.0,627.0,,
6450,Pressure,6226.0,5944.0,3750.0,5613.0,5649.0,4189.0,1102.0,681.0,,
6500,Pressure,6250.0,5968.0,3771.0,5633.0,5636.0,4220.0,1153.0,660.0,,
6550,Pressure,6308.0,6032.0,3825.0,5691.0,5667.0,4276.0,1223.0,610.0,,
6600,Pressure,6317.0,6038.0,3830.0,5692.0,5653.0,4285.0,1276.0,627.0,,
6650,Pressure,6345.0,6066.0,3844.0,5693.0,5654.0,4296.0,1209.0,571.0,,
6700,Pressure,6373.0,6072.0,3846.0,5658.0,5626.0,4264.0,1076.0,492.0,,
6750,Pressure,6434.0,6082.0,3814.0,5534.0,5518.0,4146.0,877.0,300.0,,
6800,Pressure,6544.0,6100.0,3643.0,5257.0,5270.0,3744.0,398.0,128.0,,
6850,Pressure,6612.0,6088.0,3478.0,4993.0,5023.0,3261.0,274.0,0.0,,
6900,Pressure,6648.0,6127.0,3501.0,5024.0,4996.0,3196.0,262.0,0.0,,
